baza_danych,RK,RD,PC,UDF,etykieta
cassandra,3,1,3.0,18_merge_join,True
cassandra,3,1,3.0,16_large_agg,True
cassandra,3,1,3.0,17_left_join,True
cassandra,3,1,3.0,20_nested_loops,True
cassandra,3,1,3.0,10_intersect,True
cassandra,3,1,4.5,18_merge_join,True
cassandra,3,1,4.5,16_large_agg,True
cassandra,3,1,4.5,17_left_join,True
cassandra,3,1,4.5,20_nested_loops,True
cassandra,3,1,4.5,10_intersect,True
cassandra,3,1,6.0,18_merge_join,True
cassandra,3,1,6.0,16_large_agg,True
cassandra,3,1,6.0,17_left_join,True
cassandra,3,1,6.0,20_nested_loops,True
cassandra,3,1,6.0,10_intersect,True
cassandra,3,3,3.0,18_merge_join,True
cassandra,3,3,3.0,16_large_agg,True
cassandra,3,3,3.0,17_left_join,True
cassandra,3,3,3.0,20_nested_loops,True
cassandra,3,3,3.0,10_intersect,True
cassandra,3,3,4.5,18_merge_join,True
cassandra,3,3,4.5,16_large_agg,True
cassandra,3,3,4.5,17_left_join,True
cassandra,3,3,4.5,20_nested_loops,True
cassandra,3,3,4.5,10_intersect,True
cassandra,3,3,6.0,18_merge_join,True
cassandra,3,3,6.0,16_large_agg,True
cassandra,3,3,6.0,17_left_join,True
cassandra,3,3,6.0,20_nested_loops,True
cassandra,3,3,6.0,10_intersect,True
cassandra,3,6,3.0,18_merge_join,True
cassandra,3,6,3.0,16_large_agg,True
cassandra,3,6,3.0,17_left_join,True
cassandra,3,6,3.0,20_nested_loops,True
cassandra,3,6,3.0,10_intersect,True
cassandra,3,6,4.5,18_merge_join,True
cassandra,3,6,4.5,16_large_agg,True
cassandra,3,6,4.5,17_left_join,True
cassandra,3,6,4.5,20_nested_loops,True
cassandra,3,6,4.5,10_intersect,True
cassandra,3,6,6.0,18_merge_join,True
cassandra,3,6,6.0,16_large_agg,True
cassandra,3,6,6.0,17_left_join,True
cassandra,3,6,6.0,20_nested_loops,True
cassandra,3,6,6.0,10_intersect,True
cassandra,3,9,3.0,18_merge_join,True
cassandra,3,9,3.0,16_large_agg,True
cassandra,3,9,3.0,17_left_join,True
cassandra,3,9,3.0,20_nested_loops,True
cassandra,3,9,3.0,10_intersect,True
cassandra,3,9,4.5,18_merge_join,True
cassandra,3,9,4.5,16_large_agg,True
cassandra,3,9,4.5,17_left_join,True
cassandra,3,9,4.5,20_nested_loops,True
cassandra,3,9,4.5,10_intersect,True
cassandra,3,9,6.0,18_merge_join,True
cassandra,3,9,6.0,16_large_agg,True
cassandra,3,9,6.0,17_left_join,True
cassandra,3,9,6.0,20_nested_loops,True
cassandra,3,9,6.0,10_intersect,True
cassandra,4,1,3.0,18_merge_join,True
cassandra,4,1,3.0,16_large_agg,True
cassandra,4,1,3.0,17_left_join,True
cassandra,4,1,3.0,20_nested_loops,True
cassandra,4,1,3.0,10_intersect,True
cassandra,4,1,4.5,18_merge_join,True
cassandra,4,1,4.5,16_large_agg,True
cassandra,4,1,4.5,17_left_join,True
cassandra,4,1,4.5,20_nested_loops,True
cassandra,4,1,4.5,10_intersect,True
cassandra,4,1,6.0,18_merge_join,True
cassandra,4,1,6.0,16_large_agg,True
cassandra,4,1,6.0,17_left_join,True
cassandra,4,1,6.0,20_nested_loops,True
cassandra,4,1,6.0,10_intersect,True
cassandra,4,3,3.0,18_merge_join,True
cassandra,4,3,3.0,16_large_agg,True
cassandra,4,3,3.0,17_left_join,True
cassandra,4,3,3.0,20_nested_loops,True
cassandra,4,3,3.0,10_intersect,True
cassandra,4,3,4.5,18_merge_join,True
cassandra,4,3,4.5,16_large_agg,True
cassandra,4,3,4.5,17_left_join,True
cassandra,4,3,4.5,20_nested_loops,True
cassandra,4,3,4.5,10_intersect,True
