UDF,RK,PC,RD,mean,std,q1,median,q3
16_large_agg_fp,3,3.0,1,82.14208864280224,0.6011082744190234,81.84438390191644,82.27272979848972,82.60295530129224
16_large_agg_np,3,3.0,1,102.55965890489018,0.618252512409776,102.31003343950076,102.54306416772306,103.06491677598522
16_large_agg_fp,3,4.5,1,81.12725294003965,0.7827460204290635,80.74272291181258,81.27120390543105,81.74342099590369
16_large_agg_np,3,4.5,1,101.2545907672318,1.3215243876762717,100.64603104123744,101.19226506427296,102.44184039281048
16_large_agg_fp,3,6.0,1,82.06679084847201,0.8094878797840884,81.48730521943247,82.14287711121142,82.87928514528164
16_large_agg_np,3,6.0,1,105.06274923591344,1.697036220531575,103.84389073960482,104.3800499728357,105.44772619355817
16_large_agg_fp,4,3.0,1,82.98066856068883,1.8095198470887668,82.25849837110628,83.04258823046882,83.74742346049936
16_large_agg_np,4,3.0,1,100.58626278120525,1.218394507202091,99.36616339176831,100.66379447845443,101.17093696448178
16_large_agg_fp,4,4.5,1,81.07649732571213,3.693089489455512,77.8364194202642,81.63772569539994,83.16060494936795
16_large_agg_np,4,4.5,1,99.11999480029314,1.7185029693839071,98.01486688588386,99.09365648499713,100.57273457624522
16_large_agg_fp,4,6.0,1,79.53749921645576,1.8509180987977412,78.20531419161227,78.80722600662799,81.19430039691649
16_large_agg_np,4,6.0,1,100.25705516432066,2.029231734149785,98.71121346703066,100.06646784739488,101.71416780647118
16_large_agg_fp,5,3.0,1,82.5969879459875,1.5720858056804434,81.6544364048168,82.3412235211581,83.31236304435879
16_large_agg_np,5,3.0,1,103.3044683129944,0.7289743135061977,102.70766279439844,103.3777571786195,103.57883457360354
16_large_agg_fp,5,4.5,1,76.83526868377895,1.427968949270314,75.6161770671606,76.56559138193317,77.78464248831575
16_large_agg_np,5,4.5,1,98.00784457949845,0.8818060600002618,97.42105558980258,98.1107915211469,98.65547505169002
16_large_agg_fp,5,6.0,1,80.03226599693298,2.5809034373087125,77.55306393001229,80.02987826429307,82.42071343958378
16_large_agg_np,5,6.0,1,101.93121514357627,2.148287879930854,99.6708712624386,102.70155335590243,103.79639786854386
