UDF,RK,PC,RD,mean,std,q1,median,q3
18_merge_join_np,3,3.0,1,60.03901116788208,0.9218706890770096,59.31435009289294,59.638290629335785,60.60179551132023
18_merge_join_pp,3,3.0,1,41.15246309616985,0.8778655534790824,40.511672300533505,40.71985497698188,41.38187127733594
18_merge_join_np,3,4.5,1,60.46035640347611,0.6754965524768531,60.13973820941733,60.49090629629791,61.036012754108214
18_merge_join_pp,3,4.5,1,39.686536556123755,1.1321328350517768,39.09673482408806,39.73127236367311,40.21452564839274
18_merge_join_np,3,6.0,1,60.88706984216675,1.7203512800324627,59.87701225280762,61.079270754009485,61.91572825917693
18_merge_join_pp,3,6.0,1,40.915244832444756,0.4662003190845652,40.90969235771874,41.06986920721829,41.1343831717968
18_merge_join_np,4,3.0,1,60.61965038360991,0.7405022144168969,60.05384676911987,60.70120506618836,61.05148403982772
18_merge_join_pp,4,3.0,1,41.09883003624394,0.2828821919412092,40.818157575177366,41.07933738688756,41.3732983565422
18_merge_join_np,4,4.5,1,59.85452410483124,1.7035040638022925,58.72012635874073,60.159121829570495,60.932033123280966
18_merge_join_pp,4,4.5,1,40.026137899076424,0.9400586146740273,39.50660052657089,39.82420483326378,40.305664093671425
18_merge_join_np,4,6.0,1,61.52412522881167,1.4528468103528354,60.38742200239625,60.98124621523959,63.030809516835866
18_merge_join_pp,4,6.0,1,41.645256472484,1.2638042331603814,40.823151126503944,41.73416623117103,42.482762053486866
18_merge_join_np,5,3.0,1,62.097484040440236,0.8786995016623909,61.515787339769304,61.82305030524731,62.44383508652461
18_merge_join_pp,5,3.0,1,42.29015561143717,0.4689882489468833,42.01395035441965,42.090039893984795,42.334819222800434
18_merge_join_np,5,4.5,1,59.4656752180099,1.8093554679468928,57.863326841033995,59.19092564471066,60.91727290328657
18_merge_join_pp,5,4.5,1,40.30807915929037,0.571813145464433,40.12215309217572,40.28160044364631,40.577566171996295
18_merge_join_np,5,6.0,1,60.9175245963037,1.3140944731219582,59.558402814902365,61.42739390209317,62.109498602338135
18_merge_join_pp,5,6.0,1,41.51596373803913,0.4773186073347221,41.11052928119898,41.56539677456021,41.723680823110044
