UDF,RK,PC,RD,mean,std,q1,median,q3
16_large_agg_fp,3,3.0,6,277.903452350738,1.957303322089248,276.44781509891953,277.0789691377577,280.27459097651354
16_large_agg_np,3,3.0,6,388.8604640144115,3.1541543516808974,385.50297252562706,389.4384388852203,390.3785052764293
16_large_agg_fp,4,3.0,6,282.1877796757882,1.9076406109858532,280.9876303763086,282.0325346442343,283.01716110333405
16_large_agg_np,4,3.0,6,393.330835040063,1.962159530996044,392.15356603675434,392.6986026211172,394.2717364432608
16_large_agg_fp,5,3.0,6,292.80459417183386,2.638593794546649,291.38521426382613,292.99736679531634,294.0875095517148
16_large_agg_np,5,3.0,6,410.5188107014868,3.931940916817218,407.560397898285,409.43900409154594,412.6982228625565
16_large_agg_fp,3,4.5,6,278.3335453867758,1.9130330808245855,277.3173516657523,277.7975523704554,279.48629270244396
16_large_agg_np,3,4.5,6,387.8793272316766,3.58145459000256,385.70730966422707,388.3120193103923,390.8496345442212
16_large_agg_fp,4,4.5,6,278.4466564417889,1.7026614910574236,277.80409091152546,278.3176442185961,279.84051279133314
16_large_agg_np,4,4.5,6,388.45088139676415,1.7825640389541992,387.5203193326174,388.0172579409853,389.9025019176292
16_large_agg_fp,5,4.5,6,214.51464408264178,3.697497508789812,212.0859336896913,213.1012333407998,216.3781504917286
16_large_agg_np,5,4.5,6,336.7558217012363,10.413151610750464,334.93812202388625,336.83382261544466,342.73151332113014
16_large_agg_fp,3,6.0,6,261.94914722020997,2.431516867839278,260.0194310937077,261.3069093102937,263.9294702971489
16_large_agg_np,3,6.0,6,392.7029645314692,6.01489644537716,389.4066267172907,393.06451024845535,398.13682209292926
16_large_agg_fp,4,6.0,6,276.92899623470873,1.2656407289776492,276.34061332124077,277.0258504086503,277.7568141571632
16_large_agg_np,4,6.0,6,385.11347471093234,1.4837219293801804,384.1431183591485,384.9253051037326,386.30087321927545
16_large_agg_fp,5,6.0,6,306.8607802750265,0.9046986705561332,306.16581359944735,306.7586395705708,307.5031814324706
16_large_agg_np,5,6.0,6,419.5091435530454,2.0521392749496545,418.4049410437819,419.92296516169046,421.05181299483945
