UDF,RK,PC,RD,mean,std,q1,median,q3
17_left_join_np,3,3.0,6,414.082677727686,1.1933547125040742,412.9839849517408,414.04334292553744,415.4176349375334
17_left_join_pp,3,3.0,6,269.7232236080476,2.971012214761645,268.47766310750865,270.0093436069547,272.26554292594096
17_left_join_np,3,4.5,6,422.1256472791637,9.265097767177815,414.4579358799759,424.31512501490744,430.62603318482365
17_left_join_pp,3,4.5,6,264.2828780240106,1.6291290461880796,262.41748283930707,264.98885514557975,265.54692287537523
17_left_join_np,3,6.0,6,416.77281877601297,1.980751389651513,415.44941116003815,417.1382988854333,418.6081904539801
17_left_join_pp,3,6.0,6,261.5787342374876,1.5990732973726784,260.5977581677526,261.44354459796523,262.34977769938723
17_left_join_np,4,3.0,6,397.322373858878,3.969965911901011,395.0234656569262,396.73805937221437,399.16467720899897
17_left_join_pp,4,3.0,6,251.52393350064497,1.03442364511177,250.8124126218066,251.1360597940382,252.34524358400068
17_left_join_np,4,4.5,6,407.70108532618616,11.382094467900357,401.36292225212316,409.87294654479336,416.97189636810504
17_left_join_pp,4,4.5,6,246.2661314953701,1.731353683878895,244.78986614957262,245.92205946251966,247.99212654206278
17_left_join_np,4,6.0,6,394.04133483007956,2.474164031395478,391.67745060939336,393.7261083237935,395.6216806732981
17_left_join_pp,4,6.0,6,248.75045213032212,10.70022601065263,239.8323278258498,247.10240432167603,256.4996060365811
17_left_join_np,5,3.0,6,411.5392917591877,8.947632249182506,403.22523710504174,411.9454859125295,419.3157800333575
17_left_join_pp,5,3.0,6,263.2925659195273,1.2319457278947132,262.4144736173814,262.92433190718293,263.77462014450555
17_left_join_np,5,4.5,6,397.9344769169788,8.091803474834627,392.93281648982907,394.46004704013467,399.39122320483943
17_left_join_pp,5,4.5,6,244.9374764854217,1.8992432911632575,244.37334574228396,245.27946264060938,246.13468440355174
17_left_join_np,5,6.0,6,420.8997144304835,10.503838850033647,414.1817966233939,416.4776372788063,423.6885327897644
17_left_join_pp,5,6.0,6,245.7683890801361,6.134866386926565,243.4420504849404,244.29055439141075,249.40252214365154
