UDF,RK,PC,RD,mean,std,q1,median,q3
10_intersect_np,3,3.0,9,865.0720754610459,2.393885003821098,863.1443971251028,865.9548407238323,866.7721774246123
10_intersect_pp,3,3.0,9,508.58964030954803,4.682497501913329,503.2565789377586,510.27420386298013,512.8455329062874
10_intersect_np,3,4.5,9,844.9423449574662,1.8146920567296516,843.6739301106059,844.7741536413171,846.5812385527599
10_intersect_pp,3,4.5,9,503.5548000726066,2.1669163449955615,502.0123729479702,502.51671056127407,504.6109174310344
10_intersect_np,3,6.0,9,839.0870530332043,2.2422839532836094,837.7010565162508,838.9359136122758,840.3825691537932
10_intersect_pp,3,6.0,9,501.7535852257913,1.2611926693196387,501.1145074146084,501.80240083652586,502.7157331747825
10_intersect_np,4,3.0,9,844.8612460642801,1.4340381613865316,844.0647185548751,844.8110814951281,846.1881351731718
10_intersect_pp,4,3.0,9,513.6248429882164,1.4398724513672387,512.7699662741022,513.5964068816422,514.6155063997523
10_intersect_np,4,4.5,9,835.6223008354007,2.7370492436595955,833.2201538407656,836.0404731181817,837.5658295235264
10_intersect_pp,4,4.5,9,492.2753847287263,1.5509799710611616,490.82077407268866,492.26926709843633,493.61162754353916
10_intersect_np,4,6.0,9,838.3618580200593,3.6439264112483234,836.0087879113853,837.6103647542404,840.1787155775579
10_intersect_pp,4,6.0,9,502.685273946534,7.57155844831727,498.2697031671175,503.7405659221031,509.7188364360129
10_intersect_np,5,3.0,9,653.8583504088223,8.245997993780788,648.4472639057785,653.6051214579493,658.5111401956528
10_intersect_pp,5,3.0,9,348.24350540824236,10.144375920261892,347.1636738087982,349.55698010511696,352.01098548434675
10_intersect_np,5,4.5,9,649.7168370679021,10.218784867273605,641.9459464298561,648.5557115897536,655.3453083187342
10_intersect_pp,5,4.5,9,363.48034764006735,8.127203451672845,355.5528487060219,368.1730217952281,368.27468923665583
10_intersect_np,5,6.0,9,650.473720508209,13.72182830200908,641.5958838164806,647.5467345863581,654.7476157022265
10_intersect_pp,5,6.0,9,381.79004684478934,12.156757994809134,373.3307027934651,377.8211970281974,392.53715983901805
