UDF,RK,PC,RD,mean,std,q1,median,q3
10_intersect_np,3,3.0,1,168.78922914956684,2.7160154056022683,166.60738959815353,167.83390625176145,170.26384472570652
10_intersect_pp,3,3.0,1,96.30108818897881,0.6818927431190503,95.7611378382393,96.12575208209454,96.57464819670717
10_intersect_np,3,3.0,3,369.00776580618935,2.0721980952603696,366.8329013363785,368.9732976265696,371.04826827778766
10_intersect_pp,3,3.0,3,204.42903726328944,0.7964780044354081,203.67181228632614,204.0971803229903,205.29342469289787
10_intersect_np,3,3.0,6,652.5047044425338,1.2456357309040804,651.8044546957182,652.7121589406495,653.3031225216491
10_intersect_pp,3,3.0,6,380.7092566407782,1.719975823806416,379.44900855639276,380.0390978041304,381.87683247753154
10_intersect_np,3,3.0,9,865.0720754610459,2.393885003821098,863.1443971251028,865.9548407238323,866.7721774246123
10_intersect_pp,3,3.0,9,508.58964030954803,4.682497501913329,503.2565789377586,510.27420386298013,512.8455329062874
10_intersect_np,3,4.5,1,164.6781644506736,1.2132131652037728,164.17750971866536,164.9159360214673,165.63283315612506
10_intersect_pp,3,4.5,1,93.58613542733988,0.985697410795132,93.05370730907532,93.24410943686962,94.28738131949827
10_intersect_np,3,4.5,3,363.1737114752966,4.397620148158041,359.6722841600558,365.1472891302261,366.70789951951656
10_intersect_pp,3,4.5,3,202.57428328815007,2.975650343835381,200.28620708169552,202.94569683033598,204.8458085044512
10_intersect_np,3,4.5,6,647.9085967362812,1.6649803282780233,646.5821209083537,647.9198725179367,649.0918164608506
10_intersect_pp,3,4.5,6,374.11730951266156,3.7696852059584622,369.921209578271,374.4989932652255,377.16581134551035
10_intersect_np,3,4.5,9,844.9423449574662,1.8146920567296516,843.6739301106059,844.7741536413171,846.5812385527599
10_intersect_pp,3,4.5,9,503.5548000726066,2.1669163449955615,502.0123729479702,502.51671056127407,504.6109174310344
10_intersect_np,3,6.0,1,170.1306913628689,2.100721072272533,168.44934785853167,171.03015183885185,171.7631930099949
10_intersect_pp,3,6.0,1,97.02476188287122,0.804058634642435,96.58200023904267,97.02277848869562,97.7724947212264
10_intersect_np,3,6.0,3,383.33242864185723,11.433595088982681,376.8243944114074,380.05013006925583,391.05071366486413
10_intersect_pp,3,6.0,3,206.8373073511317,0.5749654683615484,206.5133926171178,206.78808447749668,207.1013163240122
10_intersect_np,3,6.0,6,651.5464245031826,6.185399961697386,647.3586435896019,652.4850633551764,654.5198758540287
10_intersect_pp,3,6.0,6,361.8947194721512,4.0678896592278315,361.4214462747723,362.1454673836407,363.6966150686585
10_intersect_np,3,6.0,9,839.0870530332043,2.2422839532836094,837.7010565162508,838.9359136122758,840.3825691537932
10_intersect_pp,3,6.0,9,501.7535852257913,1.2611926693196387,501.1145074146084,501.80240083652586,502.7157331747825
