UDF,RK,PC,RD,type,is_np,mean,std,q1,median,q3
10_intersect_np,4,3.0,3,10_intersect,True,349.2565343710755,1.7426742777751556,347.4552157910847,349.0996527621352,350.83066577398836
10_intersect_pp,4,3.0,3,10_intersect,False,199.4420254590147,0.484905346234544,199.00657173197592,199.4502275320834,199.64896403611235
16_large_agg_fp,4,3.0,3,16_large_agg,False,168.46073330016395,6.079248561664827,162.33096259888737,167.73941794213258,172.45843824325982
16_large_agg_np,4,3.0,3,16_large_agg,True,244.29854298447253,1.6818025531508607,242.68101530574174,244.187095630914,245.69153774135697
17_left_join_np,4,3.0,3,17_left_join,True,240.62131295248582,2.1657609560719147,239.29317593668628,241.15443281008197,241.6935061865105
17_left_join_pp,4,3.0,3,17_left_join,False,143.60610756121713,1.1030100315644609,142.57400465252522,143.85660373046994,144.46986270943955
18_merge_join_np,4,3.0,3,18_merge_join,True,106.70350487491928,3.587920831727735,103.52008783802492,106.81247328109907,109.54847885385739
18_merge_join_pp,4,3.0,3,18_merge_join,False,57.14135127488903,1.8158837172817954,56.711156879477706,57.276845616727705,58.2741937901176
20_nested_loops_np,4,3.0,3,20_nested_loops,True,110.40083917852681,3.969054358949324,107.64304793313306,110.87910539965101,112.35176958492147
20_nested_loops_pp,4,3.0,3,20_nested_loops,False,60.426711511335874,2.453160771796153,58.81105060602847,59.411420948088306,61.99665999110245
