UDF,RK,PC,RD,mean,std,q1,median,q3
16_large_agg_fp,3,3.0,1,30.599346662025216,1.1686515636489532,29.702489830553528,30.232564683072273,31.326265048235655
16_large_agg_np,3,3.0,1,59.76402977744453,1.6897285256670291,58.75481498375683,59.83787445165217,61.33909031981602
16_large_agg_fp,3,4.5,1,30.588860375520582,1.0780453560854295,29.767144232988358,30.68501219060272,31.580505410568403
16_large_agg_np,3,4.5,1,60.05826654890552,1.4522059756259358,58.75764474086464,60.07078178972006,60.99257608689367
16_large_agg_fp,3,6.0,1,30.6573588156607,1.2607736207093554,29.580303536262363,30.20434456411749,31.627171821426604
16_large_agg_np,3,6.0,1,59.528639109106734,1.7522857476069753,57.70885580731556,59.497481510043144,61.010074480902404
16_large_agg_fp,4,3.0,1,28.067959509631574,0.8304558779099613,27.275502543929036,27.945403151768318,28.722308481565364
16_large_agg_np,4,3.0,1,59.8972312487673,1.0507160074171082,59.21597629293122,59.65526747070591,60.72534082487269
16_large_agg_fp,4,4.5,1,29.600040762214384,1.2977437897692008,28.61100934206032,29.69557913977695,30.864206576442374
16_large_agg_np,4,4.5,1,58.74419951204929,0.5434401619101166,58.42559004584393,58.79198598861694,58.97722249533376
16_large_agg_fp,4,6.0,1,29.96509902309474,0.962402770421505,29.63221875119402,30.030132946695897,30.55541819384184
16_large_agg_np,4,6.0,1,57.11804940778491,2.067973484230022,55.194428353208906,56.656391361485824,58.30752822295496
16_large_agg_fp,5,3.0,1,31.17822252959013,4.233145434235373,28.93700628355145,29.010536178946495,31.612599818035957
16_large_agg_np,5,3.0,1,59.29780032392591,4.939537696379872,56.07014428637922,57.591081066057086,59.14257849473506
16_large_agg_fp,5,4.5,1,31.08709124289453,3.535368109733466,28.971170759759843,30.151767417788506,31.01894287392497
16_large_agg_np,5,4.5,1,60.13401367748156,4.0713621891513325,58.03824076335877,58.94953313283622,59.6127722999081
16_large_agg_fp,5,6.0,1,31.43658292479813,3.60776227500744,29.67438631784171,30.68948731571436,30.93745224364102
16_large_agg_np,5,6.0,1,59.29022379266098,4.487526686901945,57.20630187448114,57.44067945703864,58.27815421205014
