UDF,RK,PC,RD,mean,std,q1,median,q3
20_nested_loops_np,3,3.0,3,98.57560887810914,3.3806187311418614,95.71306148730217,97.32613605282899,102.32257939079092
20_nested_loops_pp,3,3.0,3,15.522060970402652,1.1245980957826165,14.635721179037114,15.878423355009625,16.248389923013747
20_nested_loops_np,4,3.0,3,94.60320878415116,0.9336004490015369,93.70458147820639,94.94944031781017,95.29676788549602
20_nested_loops_pp,4,3.0,3,14.587747021364184,0.3239277375130566,14.332029481487059,14.44326653859109,14.896479763371742
20_nested_loops_np,5,3.0,3,90.70441244758548,1.7364104009380779,89.24673222191632,89.88276741324079,92.00737558261321
20_nested_loops_pp,5,3.0,3,11.39391912562312,2.8764591396911707,9.613086289949395,11.631144691258667,12.72669642791152
20_nested_loops_np,3,4.5,3,98.51143770752621,0.9827088047394886,97.91334234196304,98.71388423650376,99.24062976576124
20_nested_loops_pp,3,4.5,3,14.313782692700073,0.8256975102035145,13.654063882306218,13.955008443311506,14.614671482990433
20_nested_loops_np,4,4.5,3,93.08892172774866,1.3508561534317463,91.98101600806619,92.79258822719692,94.11492784349515
20_nested_loops_pp,4,4.5,3,14.333759012652445,0.27848264197771794,14.14549640018377,14.202259368534557,14.45225146281032
20_nested_loops_np,5,4.5,3,91.7932119153613,5.061168925054829,89.41482021659613,89.94717403737874,91.22479257620998
20_nested_loops_pp,5,4.5,3,17.156808123894145,5.277645419805582,13.870498448610306,14.43563651783204,19.419966639283945
20_nested_loops_np,3,6.0,3,94.5401589109666,1.3288049243137643,93.15029019555438,94.71381338499486,95.8118747391721
20_nested_loops_pp,3,6.0,3,16.491944453791277,0.3950290974025398,16.17061549324544,16.656767805106938,16.726553802296646
20_nested_loops_np,4,6.0,3,93.52180242214365,0.5796040555506706,93.02155844069634,93.32127099420053,94.07843937167064
20_nested_loops_pp,4,6.0,3,14.196356985449164,0.5557294245100024,14.008570535013796,14.274655629622346,14.408253969176478
20_nested_loops_np,5,6.0,3,95.5758629296766,4.801462745093286,92.30109762893423,94.09761632606389,96.90307008424668
20_nested_loops_pp,5,6.0,3,15.050254385903028,4.71480303406435,12.691573075030881,13.356377005577087,14.337538547604012
