UDF,RK,PC,RD,mean,std,q1,median,q3
10_intersect_np,3,3.0,6,812.5714880269952,14.169268547721044,803.0767983021215,817.3635053150355,822.4354234468193
10_intersect_pp,3,3.0,6,122.61332981554526,8.07368602068846,117.7217793241143,121.44172030687332,130.50623513944447
10_intersect_np,4,3.0,6,795.3854742861868,7.13834012574998,789.3382456954569,794.5486391153762,800.2913546551289
10_intersect_pp,4,3.0,6,116.93581398870717,6.247890430992841,113.77297384105623,115.55382625862211,117.89197204810313
10_intersect_np,5,3.0,6,773.4886898871214,17.887325351009824,760.4003307854091,767.5222797878087,787.292382704814
10_intersect_pp,5,3.0,6,108.00392839938917,7.233034404088386,102.86943929363042,105.37944069405705,109.91495179278951
10_intersect_np,3,4.5,6,790.0131552796427,24.13540476490054,767.5881256970172,784.0027197274642,810.3897494931176
10_intersect_pp,3,4.5,6,144.78721556218872,24.995721003275083,127.16493315977851,132.71383075900218,158.79859593932707
10_intersect_np,4,4.5,6,779.3425482411325,17.013338364508197,775.3861920135265,780.9891766643323,787.4286515554413
10_intersect_pp,4,4.5,6,117.42385159864213,4.973329116448344,113.95876625552773,118.26129572139942,121.79935531230538
10_intersect_np,5,4.5,6,765.403901353721,12.216505590959565,754.2325185632964,768.1853353731922,775.8315010838187
10_intersect_pp,5,4.5,6,106.65620949638912,6.2429373428976325,102.57877403402539,105.85771481506526,109.70316029310698
10_intersect_np,3,6.0,6,800.6739722224781,18.18189254164137,787.6093546736328,801.6410645743194,815.760817692441
10_intersect_pp,3,6.0,6,125.91518778455938,8.864422225510756,121.703877496995,127.08802575293251,131.10365703498775
10_intersect_np,4,6.0,6,774.5128498190119,11.821232703596708,765.9401321226258,773.4816939049376,779.2339882956323
10_intersect_pp,4,6.0,6,118.91565097085144,5.304518493068589,114.71797873917966,117.90982524320118,122.4384922142223
10_intersect_np,5,6.0,6,797.9774784121432,87.48990452551254,751.0031342953444,766.4567949389717,826.7274376040008
10_intersect_pp,5,6.0,6,126.53243671357961,16.39948366569002,113.21026878443789,120.71902551222884,137.4126640467745
