UDF,RK,PC,RD,mean,std,q1,median,q3
17_left_join_np,3,3.0,6,592.2593758531979,63.916668805794785,558.9486601352692,565.6519972793758,588.5949670262635
17_left_join_pp,3,3.0,6,175.30928871088796,9.981659746411237,165.40547581762075,173.80180891230702,183.09054300934076
17_left_join_np,3,4.5,6,559.0045646294789,10.08019036784996,553.0102670630514,561.3793004913364,566.717325982386
17_left_join_pp,3,4.5,6,184.92036118174548,5.694368407199083,181.65244105052062,185.7780849316216,187.49464852916665
17_left_join_np,3,6.0,6,554.5898882926866,5.637588422796368,551.0509377863597,554.9966913670371,558.7615973551972
17_left_join_pp,3,6.0,6,200.30338101491301,7.154999004256769,194.84243545336054,197.4030811428291,208.3108037371241
17_left_join_np,4,3.0,6,496.8418063862225,4.521613874134473,494.32902460815995,497.11357448805273,501.296925084112
17_left_join_pp,4,3.0,6,149.61875903582757,6.155173469679339,144.09396117832512,149.256545912616,153.42591947712606
17_left_join_np,4,4.5,6,494.29745601519437,7.848022553187587,489.2386303367093,493.17556335689846,500.47005706439865
17_left_join_pp,4,4.5,6,147.72516563591915,5.67221909247428,143.8312901314348,146.295240716467,150.02814065835383
17_left_join_np,4,6.0,6,516.0227007646128,30.57751651924417,493.6346409851685,499.625888089016,537.1586386371469
17_left_join_pp,4,6.0,6,151.97729518337195,8.166334124862827,146.07437684200704,150.34597276527984,159.48098308898415
17_left_join_np,5,4.5,6,490.7214270939872,6.310488322028621,484.9617546796799,489.67008988873243,496.8900898842314
17_left_join_pp,5,4.5,6,137.97431042184667,6.979166966133864,134.95564214187453,135.9790499135852,138.93825030964268
17_left_join_np,5,6.0,6,536.5757929480724,71.9225049441919,485.794257284142,520.75816048567,599.6735008452924
17_left_join_pp,5,6.0,6,139.3438125815776,8.613746004435951,133.00424907945583,133.61866963654757,147.06186428985785
