UDF,RK,PC,RD,type,is_np,mean,std,q1,median,q3
10_intersect_np,4,4.5,1,10_intersect,True,142.2744468328492,2.080829265637864,140.46005618206905,141.7419182210694,143.38743648790802
10_intersect_pp,4,4.5,1,10_intersect,False,28.037369367570676,0.8641403196112759,27.36663529463112,27.56859157780118,28.88263092418677
16_large_agg_fp,4,4.5,1,16_large_agg,False,29.600040762214384,1.2977437897692008,28.61100934206032,29.69557913977695,30.864206576442374
16_large_agg_np,4,4.5,1,16_large_agg,True,58.74419951204929,0.5434401619101166,58.42559004584393,58.79198598861694,58.97722249533376
17_left_join_np,4,4.5,1,17_left_join,True,101.53919429685149,1.2848226230407378,100.75414582946695,101.50249231244644,102.23987190886665
17_left_join_pp,4,4.5,1,17_left_join,False,34.67472358982856,1.4908748475758427,33.752975218918536,34.555975080603474,35.03362983422939
18_merge_join_np,4,4.5,1,18_merge_join,True,39.309013620493445,1.1207465818028102,38.56924027351834,39.11640840067159,39.95397160823224
18_merge_join_pp,4,4.5,1,18_merge_join,False,6.832333923285382,0.6216660794561902,6.426472818699731,6.889353909911573,7.14176884169529
20_nested_loops_np,4,4.5,1,20_nested_loops,True,39.236661761604395,1.310532568314714,38.33869186788243,38.71741920053951,40.232246373480464
20_nested_loops_pp,4,4.5,1,20_nested_loops,False,6.881983653949293,0.5948106604126764,6.437379880543045,6.793459588881492,7.223908782418022
