UDF,RK,PC,RD,mean,std,q1,median,q3
16_large_agg_fp,5,3.0,1,31.17822252959013,4.233145434235373,28.93700628355145,29.010536178946495,31.612599818035957
16_large_agg_np,5,3.0,1,59.29780032392591,4.939537696379872,56.07014428637922,57.591081066057086,59.14257849473506
16_large_agg_fp,5,3.0,3,87.66692372551188,10.029712973590211,81.25608138740063,82.08882304094732,88.80331929773092
16_large_agg_np,5,3.0,3,177.73489297786728,11.5412008534993,166.27162142284214,176.7982848379761,187.84190225880593
16_large_agg_fp,5,3.0,6,167.66791259213096,19.138598197744127,151.85045143216848,153.68406473100185,183.42296675154145
16_large_agg_np,5,3.0,6,327.8276330658773,3.045659992198,326.08935951441526,327.24719430882703,330.68767371304375
16_large_agg_fp,5,3.0,9,226.14947346039114,5.22055961186674,223.59216420724977,224.55199539288878,225.39634436368948
16_large_agg_np,5,3.0,9,484.3139149285853,3.941668993375973,482.10586237348616,483.01505003497005,484.7754915673286
16_large_agg_fp,5,4.5,1,31.08709124289453,3.535368109733466,28.971170759759843,30.151767417788506,31.01894287392497
16_large_agg_np,5,4.5,1,60.13401367748156,4.0713621891513325,58.03824076335877,58.94953313283622,59.6127722999081
16_large_agg_fp,5,4.5,3,82.07348171062766,4.185320882765902,79.0703181810677,80.89296953566372,84.03178619779645
16_large_agg_np,5,4.5,3,168.12900955509394,8.001883672941304,162.11273007746783,167.9576380327344,174.0979490019381
16_large_agg_fp,5,4.5,6,156.4182754500808,6.167181541798857,152.44725236174384,154.1774839218706,159.21397041304238
16_large_agg_np,5,4.5,6,330.733652854569,3.618638512354313,326.8872670130804,330.9044980216951,332.659017917836
16_large_agg_fp,5,4.5,9,234.39288733028724,6.626415214822085,228.2747084012978,232.34697058424354,238.5088276658252
16_large_agg_np,5,4.5,9,491.25734006866014,5.968054628589162,486.0140609962932,491.516607430665,494.4603482953091
16_large_agg_fp,5,6.0,1,31.43658292479813,3.60776227500744,29.67438631784171,30.68948731571436,30.93745224364102
16_large_agg_np,5,6.0,1,59.29022379266098,4.487526686901945,57.20630187448114,57.44067945703864,58.27815421205014
16_large_agg_fp,5,6.0,3,87.88192383537849,10.910624221129734,80.45373979397118,86.70993067681567,87.52784587088269
16_large_agg_np,5,6.0,3,171.74209368977222,7.909511131299491,166.5156754180789,168.71646250784397,176.89223296071356
16_large_agg_fp,5,6.0,6,159.40609922764907,4.628727267422721,155.14033008509185,157.50270359207315,163.31479695437744
16_large_agg_np,5,6.0,6,328.17582270754855,4.748725251440435,325.01943785815877,326.97696681347594,328.88208303250127
16_large_agg_fp,5,6.0,9,235.52785430853987,2.7543210737112305,233.81707961112258,236.4299997671606,237.84480092077973
16_large_agg_np,5,6.0,9,487.53236745920066,7.707331290507962,482.3823499448829,483.9316439684801,492.14460188036287
