UDF,RK,PC,RD,mean,std,q1,median,q3
17_left_join_np,5,3.0,1,98.34451811496433,7.560421139433344,94.14277798123658,97.04661343579798,98.57740285151135
17_left_join_pp,5,3.0,1,32.427202882939774,4.474624641003058,29.290190471336246,30.804815221577883,33.75594666756378
17_left_join_np,5,3.0,3,349.57086364238603,9.64624483503462,346.12476468600346,348.6225431524217,354.0225390698761
17_left_join_pp,5,3.0,3,105.31028167872822,5.035349518399042,101.38141288422051,105.2455578036186,106.27886155899634
17_left_join_np,5,3.0,9,733.8850864477944,23.253313733229152,715.1553088333458,724.2959153801203,747.1379062543003
17_left_join_pp,5,3.0,9,201.98933821305542,3.969717964833511,199.44877319037914,202.016116309911,205.2762118125122
17_left_join_np,5,4.5,1,101.84574230523428,6.924940062778058,96.2113918800296,97.03561649098992,107.66699729658848
17_left_join_pp,5,4.5,1,28.09020878334449,3.1495718369847165,26.38844155294633,27.31956616416573,28.89123909175396
17_left_join_np,5,4.5,3,386.5721518045249,78.68176777182299,351.4534725546837,363.9136490933597,413.3915494831699
17_left_join_pp,5,4.5,3,102.28538362326883,3.8654973503355192,99.81165296582145,101.76660055049364,102.76098207943141
17_left_join_np,5,4.5,6,490.7214270939872,6.310488322028621,484.9617546796799,489.67008988873243,496.8900898842314
17_left_join_pp,5,4.5,6,137.97431042184667,6.979166966133864,134.95564214187453,135.9790499135852,138.93825030964268
17_left_join_np,5,4.5,9,734.126610584919,15.264647160799209,722.9704840137765,726.85827738188,752.2523094965137
17_left_join_pp,5,4.5,9,210.15222601602056,5.960569591278195,206.58454198880918,210.75872965184305,214.64852779223912
17_left_join_np,5,6.0,1,96.79636670017315,8.54433565599751,91.81926525570452,94.88076359406114,100.84247334960187
17_left_join_pp,5,6.0,1,29.1777192490342,5.8219563825351734,27.891134653240446,28.83277698233724,31.63958390615677
17_left_join_np,5,6.0,3,358.6995231449955,28.781707583395775,339.98892521858215,345.470921781514,361.21081908341307
17_left_join_pp,5,6.0,3,102.96126045650556,3.4653628007873603,100.36270715296271,101.95275665819644,105.5487014598516
17_left_join_np,5,6.0,6,536.5757929480724,71.9225049441919,485.794257284142,520.75816048567,599.6735008452924
17_left_join_pp,5,6.0,6,139.3438125815776,8.613746004435951,133.00424907945583,133.61866963654757,147.06186428985785
17_left_join_np,5,6.0,9,735.4586455433306,17.65201094679055,721.6117290463299,730.3764103055,743.4255940234673
17_left_join_pp,5,6.0,9,197.0074256568652,4.957036720954292,195.45755293885782,195.626870598644,196.14122589305043
