UDF,RK,PC,RD,mean,std,q1,median,q3
18_merge_join_np,5,3.0,1,45.25415371421911,20.28140844979512,36.854427453130484,37.18073444068432,38.7579681111971
18_merge_join_pp,5,3.0,1,7.128129171490059,5.39992104357059,4.440388092932342,5.486273061484098,6.190927095711231
18_merge_join_np,5,3.0,3,119.56118143774071,51.9510493691916,94.36807547557635,96.32713155075908,107.01208694051704
18_merge_join_pp,5,3.0,3,11.163570333136802,2.5250430282995855,11.74182527884841,11.94123113885458,12.275848639586657
18_merge_join_np,5,3.0,6,179.90908738345416,4.384360824182812,175.26466076717986,180.6819590330124,183.88332390931086
18_merge_join_pp,5,3.0,6,23.770085072271712,2.527910274067738,21.699545987348074,21.8834346793592,26.097183995161966
18_merge_join_np,5,3.0,9,262.8741617823752,14.604123267432364,249.79310504798468,253.40058517083528,277.5389985406514
18_merge_join_pp,5,3.0,9,30.106876841154705,4.931026961883478,27.842104942034325,28.019778572022915,29.06875961646438
18_merge_join_np,5,4.5,1,46.56045649334828,11.780752198580355,37.77405107021332,40.72098319977522,53.071481678454575
18_merge_join_pp,5,4.5,1,7.7624203516754875,2.290840815189486,5.928328342735767,6.408024251461029,9.299766830076354
18_merge_join_np,5,4.5,3,110.69023434140907,35.473607301817786,90.10521169193089,92.18187208846211,126.0967440442974
18_merge_join_pp,5,4.5,3,13.758937985043172,4.749741962267888,11.403042789548635,11.643567092716694,12.88914019879582
18_merge_join_np,5,4.5,6,175.29471618992432,5.009021097610364,170.2232861025259,175.4840602668234,179.137306920162
18_merge_join_pp,5,4.5,6,24.16500252206072,4.832202099130449,19.831892546266314,22.795779970322503,27.65504052180119
18_merge_join_np,5,4.5,9,259.1292333155699,27.38691192204722,244.13642202276066,250.34987168583825,264.07693005623725
18_merge_join_pp,5,4.5,9,32.52066570280999,4.860760175869032,28.705043298192315,32.055258181480504,36.01358895506507
18_merge_join_np,5,6.0,1,36.61390579226061,5.223505858672857,35.54320598579943,38.181755896657705,39.30928778257456
18_merge_join_pp,5,6.0,1,6.165929590150283,1.5410012600630403,5.209005889399309,5.657842632383108,6.081360904499888
18_merge_join_np,5,6.0,3,105.36027764543398,22.154547866929832,89.4092917740345,91.56615030765532,113.51943872640837
18_merge_join_pp,5,6.0,3,13.869170399169361,5.62216793499537,11.948571233842333,12.324342995882034,12.516736375167966
18_merge_join_np,5,6.0,6,172.9227304971576,3.185043988039944,171.05134146567434,172.25765538048736,175.87514852204865
18_merge_join_pp,5,6.0,6,23.192568564178536,1.8248290359025177,21.667995345334905,23.02207086235285,24.291544815710232
18_merge_join_np,5,6.0,9,249.03193875038434,11.36455723992782,243.60546620190144,244.1484722904861,246.89190116937104
18_merge_join_pp,5,6.0,9,32.88433022674606,4.919165448838864,29.742690838873386,31.00728996098041,34.77731849398796
