UDF,RK,PC,RD,mean,std,q1,median,q3
16_large_agg_fp,3,3.0,1,13.241002607676718,1.0963957640196336,13.017358016222715,13.21278328448534,14.144712656736374
16_large_agg_np,3,3.0,1,74.32777900358354,2.5095915326785,73.57694933881113,74.37952274292702,76.04417150441375
16_large_agg_fp,3,4.5,1,15.817050638926212,0.9250591102981138,15.030579686785122,15.50152100995183,16.659137467670828
16_large_agg_np,3,4.5,1,71.55063117210776,0.7357869999930068,70.76677016724547,71.63803128305639,72.02493884488743
16_large_agg_fp,3,6.0,1,11.989561070507248,0.6754746870970283,11.430184327065945,11.896241778704578,12.41844433041352
16_large_agg_np,3,6.0,1,72.07628720286824,1.0517341792041084,71.10672563798605,72.23791431263089,72.94783398948744
16_large_agg_fp,4,3.0,1,15.03244621081927,1.2618186599498753,13.817617944574112,15.154572063434024,15.208504185080528
16_large_agg_np,4,3.0,1,91.58147606564866,0.966494989884513,90.9876113048598,91.4735360518098,92.43456984311342
16_large_agg_fp,4,4.5,1,13.697429046927208,0.8147077605761737,13.4720628454496,13.878882276975444,14.138502812257007
16_large_agg_np,4,4.5,1,94.05767474236703,2.335557331331429,92.72628262639046,93.0828976241445,96.07985963532676
16_large_agg_fp,4,6.0,1,12.293985796417083,0.926628725977054,11.718828528080367,12.04819612352176,12.400267031948957
16_large_agg_np,4,6.0,1,93.7482576769757,3.574903216754782,90.67226328129976,92.80018250947596,96.73027697232423
16_large_agg_fp,5,3.0,1,14.741217613894662,0.25584147320730455,14.515677858207871,14.677143624744648,14.874245192855597
16_large_agg_np,5,3.0,1,87.01458149087755,1.3107662288191517,86.07434687763453,86.43391180815149,87.71295350416294
16_large_agg_fp,5,4.5,1,14.066797820543089,0.5149280654132105,13.62288070336995,14.125594762657148,14.467737541240885
16_large_agg_np,5,4.5,1,84.87334998474007,2.2705700852165873,83.67106533509222,84.28205236160122,85.44139953017421
16_large_agg_fp,5,6.0,1,10.950757197050958,0.4132437582533598,10.66975513100624,10.87820297389666,11.034810160832006
16_large_agg_np,5,6.0,1,83.15888850234553,0.7618541449735214,82.45632601867406,83.11043648467582,83.31185706625845
