UDF,RK,PC,RD,mean,std,q1,median,q3
17_left_join_np,4,3.0,1,135.27249735246713,0.6266285645168098,134.9270618423012,134.9996087788302,135.36428815609253
17_left_join_pp,4,3.0,1,34.872225719356486,1.2083568136200415,34.126559637486935,34.891271229833364,36.14786248023923
17_left_join_np,4,3.0,3,360.0564461189724,2.124084011877182,359.38306484210483,359.85971650481224,361.5318183656305
17_left_join_pp,4,3.0,3,71.0173640636786,0.5612367384878738,70.67699445784092,71.2031235769391,71.48610827900701
17_left_join_np,4,3.0,6,699.6595500079216,3.4206601999047,696.9910578988492,699.8695946346307,700.8177320318295
17_left_join_pp,4,3.0,6,122.7970250759256,0.7769809774051074,122.50385298898586,122.93758703768252,123.38591029060431
17_left_join_np,4,3.0,9,1034.0608689959272,28.630945692474306,1009.741601207746,1033.9471458420155,1044.5486124579131
17_left_join_pp,4,3.0,9,172.2898145275619,1.6449244179289322,170.8295779993407,172.16669531640315,173.13477248661067
17_left_join_np,4,4.5,1,136.36842074878763,1.9206164718321626,134.93154815909344,136.03060813451464,136.57190087508462
17_left_join_pp,4,4.5,1,36.97639571914985,1.2237769049818783,35.754727379271884,37.33893798251348,38.11389390125603
17_left_join_np,4,4.5,3,370.50894315550556,6.520242886350659,365.2972229596599,371.3683972327949,376.4125948716474
17_left_join_pp,4,4.5,3,67.4317053904677,1.4452597102241285,66.28713095083248,66.91109340779126,68.57421628211762
17_left_join_np,4,4.5,6,662.151412969646,36.91934565325673,642.7424028181857,666.1933698199965,678.6318157495009
17_left_join_pp,4,4.5,6,119.8755220076321,2.0036284050209203,119.22877601622952,119.95945177888692,120.88538936078442
17_left_join_np,4,4.5,9,1001.7731783445195,32.85424195476968,967.4129837676142,997.8682898312292,1032.436644530492
17_left_join_pp,4,4.5,9,171.47956948227096,3.5943232713213167,168.89428789454655,171.20261465607098,174.36297742126058
17_left_join_np,4,6.0,1,125.83373408302207,4.449041039931811,122.09695400451922,127.32517868515068,129.56345843029118
17_left_join_pp,4,6.0,1,37.210702557819296,0.6128293749097823,36.64487091102068,37.13816797145559,37.74078565219889
17_left_join_np,4,6.0,3,369.1162165583006,6.246876749984696,369.890041736085,371.5184815663003,373.9271579633488
17_left_join_pp,4,6.0,3,68.96467983022667,2.421182812925979,66.72511855389523,68.75431649632081,71.06498441866943
17_left_join_np,4,6.0,6,700.7852549337368,15.189304872097324,691.5613303880461,693.1425171144745,710.6463775948603
17_left_join_pp,4,6.0,6,126.26936166153357,2.380482373705552,124.91738877548752,125.39445603665315,127.46062057612376
17_left_join_np,4,6.0,9,995.9725824847347,25.732475543667523,977.6140512975464,982.1823532250944,1006.8876318404116
17_left_join_pp,4,6.0,9,169.85386340151945,4.593316224894491,166.49203822772165,169.73080986097645,171.24849792929476
