baza_danych,RK,PC,RD,UDF,etykieta
cassandra,3,1,3.0,18_merge_join,0.6854287286827335
cassandra,3,1,3.0,16_large_agg,0.8009200646716035
cassandra,3,1,3.0,17_left_join,0.6393757262170068
cassandra,3,1,3.0,20_nested_loops,0.6737092969349457
cassandra,3,1,3.0,10_intersect,0.5705404821989256
cassandra,3,1,4.5,18_merge_join,0.6564059313722804
cassandra,3,1,4.5,16_large_agg,0.8012204910939623
cassandra,3,1,4.5,17_left_join,0.6308379896397117
cassandra,3,1,4.5,20_nested_loops,0.6722114001055521
cassandra,3,1,4.5,10_intersect,0.5682971736995037
cassandra,3,1,6.0,18_merge_join,0.6719857752804734
cassandra,3,1,6.0,16_large_agg,0.7811216767628544
cassandra,3,1,6.0,17_left_join,0.6455026736266108
cassandra,3,1,6.0,20_nested_loops,0.671500483875519
cassandra,3,1,6.0,10_intersect,0.570295465830611
cassandra,3,3,3.0,18_merge_join,0.5473792285402321
cassandra,3,3,3.0,16_large_agg,0.7301481654398013
cassandra,3,3,3.0,17_left_join,0.614575493811758
cassandra,3,3,3.0,20_nested_loops,0.5522985964529721
cassandra,3,3,3.0,10_intersect,0.5539965719059146
cassandra,3,3,4.5,18_merge_join,0.5624105911229761
cassandra,3,3,4.5,16_large_agg,0.7316892950031497
cassandra,3,3,4.5,17_left_join,0.6340252086873445
cassandra,3,3,4.5,20_nested_loops,0.5645836868352541
cassandra,3,3,4.5,10_intersect,0.5577889502663779
cassandra,3,3,6.0,18_merge_join,0.5469327009848267
cassandra,3,3,6.0,16_large_agg,0.7294201196625497
cassandra,3,3,6.0,17_left_join,0.5909556208955313
cassandra,3,3,6.0,20_nested_loops,0.5430744007053494
cassandra,3,3,6.0,10_intersect,0.5395768578305626
cassandra,3,6,3.0,18_merge_join,0.5356974598057771
cassandra,3,6,3.0,16_large_agg,0.7146611138653547
cassandra,3,6,3.0,17_left_join,0.6513752883558829
cassandra,3,6,3.0,20_nested_loops,0.48448549757930753
cassandra,3,6,3.0,10_intersect,0.5834582556244349
cassandra,3,6,4.5,18_merge_join,0.522487666985783
