UDF,RK,PC,RD,mean,std,q1,median,q3
20_nested_loops_np,3,3.0,6,172.5408498243533,4.229555792067789,170.08303133179658,173.56119627142368,176.0855411920868
20_nested_loops_pp,3,3.0,6,83.59353947990839,0.720647881425492,82.96257794975675,83.45383262075484,84.02776292149863
20_nested_loops_np,3,4.5,6,175.8112687307318,2.585893494894789,173.89178145139155,175.07159249058157,177.44331394352432
20_nested_loops_pp,3,4.5,6,90.72643983383063,1.27313732228704,90.03980725199483,90.37722976582592,91.2814081543589
20_nested_loops_np,3,6.0,6,173.5479526774082,2.311056963391097,171.0342140852387,173.68137393429566,175.51290979152475
20_nested_loops_pp,3,6.0,6,91.64517988334055,0.49436711039513276,91.4934827145214,91.56564340566058,91.62979762219393
20_nested_loops_np,4,3.0,6,182.96641645728178,1.7435335781232701,182.1120768082623,183.06204891730385,183.69613439040089
20_nested_loops_pp,4,3.0,6,90.28480138983608,1.6821156269501403,89.75647026374605,90.62142213897296,91.2351245932264
20_nested_loops_np,4,4.5,6,177.18543417504316,4.744862541461559,174.76067525322952,178.29119771160185,179.7462155287743
20_nested_loops_pp,4,4.5,6,91.1422934502277,3.2602980774275774,88.52317358441061,90.967887517218,92.09758934527078
20_nested_loops_np,4,6.0,6,164.20412926094627,3.0079680393435826,162.70872348546982,163.92725524232833,165.8163787696937
20_nested_loops_pp,4,6.0,6,88.17611060116549,4.664134048586984,86.60328208331606,87.5575692548484,92.34271508314437
20_nested_loops_np,5,3.0,6,178.94163229246615,2.4451079587337867,177.06922410338973,177.92525405064225,180.47259278781706
20_nested_loops_pp,5,3.0,6,90.1494102199398,0.9902748703612849,89.70444835536182,90.04995629756465,91.08041149880121
20_nested_loops_np,5,4.5,6,184.27786490702056,2.6096830641600306,182.4519629944116,184.51271215640008,185.99102298695735
20_nested_loops_pp,5,4.5,6,88.8492590513245,2.3922589050542666,87.52071542013437,88.59129961562677,90.56497388368429
20_nested_loops_np,5,6.0,6,184.57378057876596,1.6592151115603853,183.5324805838752,184.44121945649385,185.5113310161978
20_nested_loops_pp,5,6.0,6,92.5217224471777,2.7693627990727805,91.5000580418855,91.75546551682055,92.71238641734003
