UDF,RK,PC,RD,type,is_np,mean,std,q1,median,q3
10_intersect_np,3,3.0,1,10_intersect,True,168.78922914956684,2.7160154056022683,166.60738959815353,167.83390625176145,170.26384472570652
10_intersect_pp,3,3.0,1,10_intersect,False,96.30108818897881,0.6818927431190503,95.7611378382393,96.12575208209454,96.57464819670717
16_large_agg_fp,3,3.0,1,16_large_agg,False,82.14208864280224,0.6011082744190234,81.84438390191644,82.27272979848972,82.60295530129224
16_large_agg_np,3,3.0,1,16_large_agg,True,102.55965890489018,0.618252512409776,102.31003343950076,102.54306416772306,103.06491677598522
17_left_join_np,3,3.0,1,17_left_join,True,113.91988433510497,1.7466498646137567,112.80110229199286,114.44938542693853,115.57330228961074
17_left_join_pp,3,3.0,1,17_left_join,False,72.83760877731515,1.087839581710767,72.15472207497805,72.80145306698978,73.61567705633489
18_merge_join_np,3,3.0,1,18_merge_join,True,60.03901116788208,0.9218706890770096,59.31435009289294,59.638290629335785,60.60179551132023
18_merge_join_pp,3,3.0,1,18_merge_join,False,41.15246309616985,0.8778655534790824,40.511672300533505,40.71985497698188,41.38187127733594
20_nested_loops_np,3,3.0,1,20_nested_loops,True,60.065637171856096,0.5126782116901163,59.54667694503349,60.250588807938456,60.52718421433471
20_nested_loops_pp,3,3.0,1,20_nested_loops,False,40.46677818900071,0.3241908440893479,40.22875576545407,40.59060372816414,40.70373565983027
