UDF,RK,PC,RD,mean,std,q1,median,q3
10_intersect_np,4,3.0,1,170.43477442345392,2.8995660526078724,168.22305492684245,170.10802904718474,173.11224584077493
10_intersect_pp,4,3.0,1,94.06084954251833,0.9961965117123087,93.5867661005664,94.10849237069488,94.6248346593838
10_intersect_np,4,3.0,3,349.2565343710755,1.7426742777751556,347.4552157910847,349.0996527621352,350.83066577398836
10_intersect_pp,4,3.0,3,199.4420254590147,0.484905346234544,199.00657173197592,199.4502275320834,199.64896403611235
10_intersect_np,4,3.0,6,591.2140149123287,2.3993503899271196,590.983914940537,591.9681488219649,592.5741892594735
10_intersect_pp,4,3.0,6,377.42880574959344,9.34634111701775,368.9991384472644,375.66396972384223,382.8078285129885
10_intersect_np,4,3.0,9,844.8612460642801,1.4340381613865316,844.0647185548751,844.8110814951281,846.1881351731718
10_intersect_pp,4,3.0,9,513.6248429882164,1.4398724513672387,512.7699662741022,513.5964068816422,514.6155063997523
10_intersect_np,4,4.5,1,169.95647579816867,3.4493540187382137,168.6774768553702,170.325082501213,171.9149339726864
10_intersect_pp,4,4.5,1,90.7562675149509,1.8806402641681084,89.14601593236904,91.15553571126947,91.85660357731938
10_intersect_np,4,4.5,3,347.69820187279026,6.267471214157733,343.3206614446488,347.1956172440521,354.66265341135124
10_intersect_pp,4,4.5,3,196.89977692746302,1.6437555919235984,195.85363635732534,197.12796352427245,197.9768478810629
10_intersect_np,4,4.5,6,577.0028301980782,5.55828244891263,574.0852032496293,576.7162438874136,578.4669511857994
10_intersect_pp,4,4.5,6,365.6290461590214,3.0846339913482987,363.5060723949558,365.1221893957504,368.29685794132666
10_intersect_np,4,4.5,9,835.6223008354007,2.7370492436595955,833.2201538407656,836.0404731181817,837.5658295235264
10_intersect_pp,4,4.5,9,492.2753847287263,1.5509799710611616,490.82077407268866,492.26926709843633,493.61162754353916
10_intersect_np,4,6.0,1,166.7998830623454,3.3958088094172973,163.99772964806775,165.8660095171407,169.76886855819072
10_intersect_pp,4,6.0,1,95.14559396738538,3.9209125367179785,92.41266502168497,95.00942567035912,98.73882260283895
10_intersect_np,4,6.0,3,351.02556473084564,12.477817085940707,341.2012748043309,343.8060016016267,362.9870145944139
10_intersect_pp,4,6.0,3,195.318266533937,1.4220504475756248,194.55039044032776,195.26141297843643,195.942311658524
10_intersect_np,4,6.0,6,566.2990163140491,4.736692412519909,561.891046729069,565.3373807401373,570.8907245300859
10_intersect_pp,4,6.0,6,365.1215074091418,3.460112803953824,361.36398597740254,365.8720691073722,367.0075260911615
10_intersect_np,4,6.0,9,838.3618580200593,3.6439264112483234,836.0087879113853,837.6103647542404,840.1787155775579
10_intersect_pp,4,6.0,9,502.685273946534,7.57155844831727,498.2697031671175,503.7405659221031,509.7188364360129
