UDF,RK,PC,RD,mean,std,q1,median,q3
16_large_agg_fp,4,3.0,1,82.98066856068883,1.8095198470887668,82.25849837110628,83.04258823046882,83.74742346049936
16_large_agg_np,4,3.0,1,100.58626278120525,1.218394507202091,99.36616339176831,100.66379447845443,101.17093696448178
16_large_agg_fp,4,3.0,3,168.46073330016395,6.079248561664827,162.33096259888737,167.73941794213258,172.45843824325982
16_large_agg_np,4,3.0,3,244.29854298447253,1.6818025531508607,242.68101530574174,244.187095630914,245.69153774135697
16_large_agg_fp,4,3.0,6,282.1877796757882,1.9076406109858532,280.9876303763086,282.0325346442343,283.01716110333405
16_large_agg_np,4,3.0,6,393.330835040063,1.962159530996044,392.15356603675434,392.6986026211172,394.2717364432608
16_large_agg_fp,4,3.0,9,376.73961947870635,3.7504594587943325,373.3819833416492,375.6176688076297,380.5332351981099
16_large_agg_np,4,3.0,9,565.7344921503975,1.9811249965281557,564.905190071217,566.1351522004367,567.2422363806859
16_large_agg_fp,4,4.5,1,81.07649732571213,3.693089489455512,77.8364194202642,81.63772569539994,83.16060494936795
16_large_agg_np,4,4.5,1,99.11999480029314,1.7185029693839071,98.01486688588386,99.09365648499713,100.57273457624522
16_large_agg_fp,4,4.5,3,172.466769017336,4.8051010973697,167.9397168023673,173.35211053760068,176.3979456610727
16_large_agg_np,4,4.5,3,238.2281471652315,2.244344828752038,237.3840903927124,239.113866287623,240.00842195349043
16_large_agg_fp,4,4.5,6,278.4466564417889,1.7026614910574236,277.80409091152546,278.3176442185961,279.84051279133314
16_large_agg_np,4,4.5,6,388.45088139676415,1.7825640389541992,387.5203193326174,388.0172579409853,389.9025019176292
16_large_agg_fp,4,4.5,9,366.2610972224796,3.5755004011339886,363.59777787802176,365.2370570770783,368.1229943495678
16_large_agg_np,4,4.5,9,568.3279369725699,2.582562058959599,567.6409980059454,569.4172115520078,570.1826242259502
16_large_agg_fp,4,6.0,1,79.53749921645576,1.8509180987977412,78.20531419161227,78.80722600662799,81.19430039691649
16_large_agg_np,4,6.0,1,100.25705516432066,2.029231734149785,98.71121346703066,100.06646784739488,101.71416780647118
16_large_agg_fp,4,6.0,3,173.6264302400195,3.2948241312077164,170.67366561409165,173.9446232777653,176.49891355303487
16_large_agg_np,4,6.0,3,234.286932148146,6.197038775672644,228.16322314080395,235.07971030485572,237.08217685022657
16_large_agg_fp,4,6.0,6,276.92899623470873,1.2656407289776492,276.34061332124077,277.0258504086503,277.7568141571632
16_large_agg_np,4,6.0,6,385.11347471093234,1.4837219293801804,384.1431183591485,384.9253051037326,386.30087321927545
16_large_agg_fp,4,6.0,9,358.48520131149814,4.055484744107689,355.0938549579034,358.6436057332903,362.5540555601968
16_large_agg_np,4,6.0,9,559.4054317219504,3.0685442401154877,556.5509579887962,558.6636318222679,561.6145763330863
