UDF,RK,PC,RD,mean,std,q1,median,q3
17_left_join_np,5,3.0,1,116.35345689441979,0.982936905749903,115.66175726245515,116.40290774655168,117.00869116344026
17_left_join_pp,5,3.0,1,73.60790026807598,0.7474308735082847,72.96800196263939,73.38973969779909,74.17230392816722
17_left_join_np,5,3.0,3,256.6006641898286,1.4697425253410703,256.03170905620107,256.47222768329084,256.7133430711135
17_left_join_pp,5,3.0,3,153.72111528253052,0.45901182457618217,153.379722985439,153.60269611860463,154.08580115602643
17_left_join_np,5,3.0,6,411.5392917591877,8.947632249182506,403.22523710504174,411.9454859125295,419.3157800333575
17_left_join_pp,5,3.0,6,263.2925659195273,1.2319457278947132,262.4144736173814,262.92433190718293,263.77462014450555
17_left_join_np,5,3.0,9,508.75576800282647,6.499364969351277,505.5497350477359,506.2071247175336,509.7935743980782
17_left_join_pp,5,3.0,9,322.20948615340876,13.134311560893511,315.2509604093748,316.23262502998114,321.57735549625136
17_left_join_np,5,4.5,1,107.03849071051008,0.8785661296875082,106.39495889077796,106.79699687502762,107.50769913289695
17_left_join_pp,5,4.5,1,68.73231396302305,0.5608279789941408,68.21867419593036,68.6156337712488,69.2267650037046
17_left_join_np,5,4.5,3,254.39330775216223,1.532050103478998,254.11477730236948,254.44412548467517,255.21458030398935
17_left_join_pp,5,4.5,3,150.55295373238624,1.1082482448920157,149.8391027757898,150.54568120092154,151.6835421724245
17_left_join_np,5,4.5,6,397.9344769169788,8.091803474834627,392.93281648982907,394.46004704013467,399.39122320483943
17_left_join_pp,5,4.5,6,244.9374764854217,1.8992432911632575,244.37334574228396,245.27946264060938,246.13468440355174
17_left_join_np,5,4.5,9,513.3862690471112,6.607126093706226,508.6423427108675,515.0559039805084,518.9962704963982
17_left_join_pp,5,4.5,9,312.7314040891826,3.0125966666981205,311.3134365230799,312.53840596601367,313.6432111384347
17_left_join_np,5,6.0,1,114.65573451071978,3.70352684492784,111.203230638057,114.78352100029588,118.15408582612874
17_left_join_pp,5,6.0,1,72.85686963573099,2.5288106532631356,70.60635972674936,72.8597480673343,75.36141250096262
17_left_join_np,5,6.0,3,257.1901807487011,2.335900825907478,255.42737651802597,257.60292854718864,258.5155498124659
17_left_join_pp,5,6.0,3,152.39403475746514,1.8021926444855199,150.6095012454316,152.35000591911376,153.90087024867535
17_left_join_np,5,6.0,6,420.8997144304835,10.503838850033647,414.1817966233939,416.4776372788063,423.6885327897644
17_left_join_pp,5,6.0,6,245.7683890801361,6.134866386926565,243.4420504849404,244.29055439141075,249.40252214365154
17_left_join_np,5,6.0,9,508.92379730778237,6.9790205616254255,504.87783480435616,509.23746035343197,512.6997557617724
17_left_join_pp,5,6.0,9,319.37710844466613,3.92236194243701,317.64440679643303,318.55627991259087,320.39151800309855
