UDF,RK,PC,RD,mean,std,q1,median,q3
20_nested_loops_np,5,3.0,1,60.576146465537605,1.099471424548871,60.235231385434886,60.88070950879641,61.009650570340455
20_nested_loops_pp,5,3.0,1,42.49120232739408,0.13944105337639476,42.38583752397082,42.44739180058241,42.555315278470516
20_nested_loops_np,5,3.0,3,113.66026927948548,0.6373471629124836,113.26581308804451,113.64349253212346,114.21206233660493
20_nested_loops_pp,5,3.0,3,61.99410222323219,1.4795998870912686,61.48124948532575,62.40060427039862,62.97560856118798
20_nested_loops_np,5,3.0,6,178.94163229246615,2.4451079587337867,177.06922410338973,177.92525405064225,180.47259278781706
20_nested_loops_pp,5,3.0,6,90.1494102199398,0.9902748703612849,89.70444835536182,90.04995629756465,91.08041149880121
20_nested_loops_np,5,3.0,9,242.74908338169192,1.8218148169672912,241.60442149359733,242.32449800533007,243.2989393447171
20_nested_loops_pp,5,3.0,9,118.99516096417986,0.6362562509302433,118.49234897270799,119.07920790969663,119.50820497236003
20_nested_loops_np,5,4.5,1,58.56356184720191,0.8061729083031796,57.963825130835176,58.22824692381694,58.98479900318553
20_nested_loops_pp,5,4.5,1,41.27465609904641,0.4686073851506928,40.894172720611095,41.14356577768922,41.56226988718406
20_nested_loops_np,5,4.5,3,113.28156870268285,1.2190174259442994,112.32365671452135,113.5850627757609,114.21224435046315
20_nested_loops_pp,5,4.5,3,61.848182341456415,0.5625644291539856,61.5505054788664,61.983246544376016,62.255724027752876
20_nested_loops_np,5,4.5,6,184.27786490702056,2.6096830641600306,182.4519629944116,184.51271215640008,185.99102298695735
20_nested_loops_pp,5,4.5,6,88.8492590513245,2.3922589050542666,87.52071542013437,88.59129961562677,90.56497388368429
20_nested_loops_np,5,4.5,9,247.15491600818933,4.819666089971354,242.1312621794641,248.65559418313205,250.4318401683122
20_nested_loops_pp,5,4.5,9,119.94038585796952,1.91964839288055,118.2923940597102,120.3145035598427,121.79464805778116
20_nested_loops_np,5,6.0,1,61.289101630076765,1.1735261459374822,60.12381262425333,61.67164392955601,62.34873454272747
20_nested_loops_pp,5,6.0,1,41.594554860889914,0.3967203181612887,41.30461684521288,41.56544409506023,41.98446022067219
20_nested_loops_np,5,6.0,3,115.33202063658112,1.2682643773012803,114.37513916380702,115.27682489115588,115.84970029536635
20_nested_loops_pp,5,6.0,3,63.21254608211783,0.4836780066587504,62.93810308724642,63.07006402872503,63.40771038937979
20_nested_loops_np,5,6.0,6,184.57378057876596,1.6592151115603853,183.5324805838752,184.44121945649385,185.5113310161978
20_nested_loops_pp,5,6.0,6,92.5217224471777,2.7693627990727805,91.5000580418855,91.75546551682055,92.71238641734003
20_nested_loops_np,5,6.0,9,253.68383142369782,2.2971546068175925,252.35066050697304,253.27084757946432,254.61447832825576
20_nested_loops_pp,5,6.0,9,123.02257280042889,0.795452362924141,122.67732290644199,122.91820979304612,123.2616462448928
