UDF,RK,PC,RD,mean,std,q1,median,q3
17_left_join_np,3,3.0,1,102.48796907398886,3.072660179016462,99.14426285680383,102.71546474773632,104.6605255210446
17_left_join_pp,3,3.0,1,40.33533389590219,0.9561046223531064,39.84298262454115,40.25276278050126,41.15631333129534
17_left_join_np,4,3.0,1,99.3171770757607,0.9741350812431357,98.68095846837886,99.38837100782061,99.92496234639631
17_left_join_pp,4,3.0,1,31.57007490842242,0.12924115135485648,31.522504549479443,31.575270001748365,31.662993475882814
17_left_join_np,5,3.0,1,98.34451811496433,7.560421139433344,94.14277798123658,97.04661343579798,98.57740285151135
17_left_join_pp,5,3.0,1,32.427202882939774,4.474624641003058,29.290190471336246,30.804815221577883,33.75594666756378
17_left_join_np,3,4.5,1,99.7391703560873,2.5601624053923078,97.69673544447869,99.73423461668902,101.0375068988651
17_left_join_pp,3,4.5,1,39.4404175323934,0.5385312852325748,39.1567275298964,39.37858582101762,39.79058847296983
17_left_join_np,4,4.5,1,101.53919429685149,1.2848226230407378,100.75414582946695,101.50249231244644,102.23987190886665
17_left_join_pp,4,4.5,1,34.67472358982856,1.4908748475758427,33.752975218918536,34.555975080603474,35.03362983422939
17_left_join_np,5,4.5,1,101.84574230523428,6.924940062778058,96.2113918800296,97.03561649098992,107.66699729658848
17_left_join_pp,5,4.5,1,28.09020878334449,3.1495718369847165,26.38844155294633,27.31956616416573,28.89123909175396
17_left_join_np,3,6.0,1,101.62724978337064,2.1813584324818462,99.91659974632785,101.5520174568519,102.7377595412545
17_left_join_pp,3,6.0,1,41.57577469549142,4.862199199943428,39.27607047650963,39.70925245992839,40.397313308902085
17_left_join_np,4,6.0,1,98.96461007828282,2.0524389138231753,97.59263999954827,98.73663458160183,100.917816999145
17_left_join_pp,4,6.0,1,31.944103736067895,0.7429677309752668,31.353836912490017,31.721510022277954,32.45996508573353
17_left_join_np,5,6.0,1,96.79636670017315,8.54433565599751,91.81926525570452,94.88076359406114,100.84247334960187
17_left_join_pp,5,6.0,1,29.1777192490342,5.8219563825351734,27.891134653240446,28.83277698233724,31.63958390615677
