UDF,RK,PC,RD,mean,std,q1,median,q3
16_large_agg_fp,3,3.0,9,232.92374170273538,19.97926305574413,216.4802674241364,225.8144696320345,249.6300049354368
16_large_agg_np,3,3.0,9,553.9526800394912,14.983179220463931,540.7084945606216,550.943654173382,566.7708836328856
16_large_agg_fp,4,3.0,9,233.891321555505,8.240402014641058,228.20731767554244,231.02947101928294,241.51448783083876
16_large_agg_np,4,3.0,9,490.9616354475577,5.331045107622153,486.82048218976706,487.9301033288972,494.3580326609457
16_large_agg_fp,5,3.0,9,226.14947346039114,5.22055961186674,223.59216420724977,224.55199539288878,225.39634436368948
16_large_agg_np,5,3.0,9,484.3139149285853,3.941668993375973,482.10586237348616,483.01505003497005,484.7754915673286
16_large_agg_fp,3,4.5,9,244.13714103698206,9.574412263954992,236.97945768507122,244.1244444660842,250.4605644920955
16_large_agg_np,3,4.5,9,519.3349981504736,4.1067635798515605,516.2639591997136,518.5755393356084,521.4361030254513
16_large_agg_fp,4,4.5,9,232.64102648398256,2.0021641192224364,231.1694906166254,232.50198609353828,234.1100028143298
16_large_agg_np,4,4.5,9,482.6108567815576,5.797321319474774,478.5761041338071,480.80459393560886,484.7597820609717
16_large_agg_fp,5,4.5,9,234.39288733028724,6.626415214822085,228.2747084012978,232.34697058424354,238.5088276658252
16_large_agg_np,5,4.5,9,491.25734006866014,5.968054628589162,486.0140609962932,491.516607430665,494.4603482953091
16_large_agg_fp,3,6.0,9,246.2452690064745,4.795114654796103,242.66983296044225,243.196369091835,249.2247731953197
16_large_agg_np,3,6.0,9,525.9197962428772,8.287288533021814,519.901241582541,521.993784652441,531.4717602694392
16_large_agg_fp,4,6.0,9,227.3483592871258,3.6576237645269467,227.1784476457934,227.9863851654188,229.21660345433565
16_large_agg_np,4,6.0,9,492.0432263558816,6.063918066079443,486.728159891984,489.00042403878035,498.6259641874144
16_large_agg_fp,5,6.0,9,235.52785430853987,2.7543210737112305,233.81707961112258,236.4299997671606,237.84480092077973
16_large_agg_np,5,6.0,9,487.53236745920066,7.707331290507962,482.3823499448829,483.9316439684801,492.14460188036287
