UDF,RK,PC,RD,mean,std,q1,median,q3
17_left_join_np,3,3.0,1,102.48796907398886,3.072660179016462,99.14426285680383,102.71546474773632,104.6605255210446
17_left_join_pp,3,3.0,1,40.33533389590219,0.9561046223531064,39.84298262454115,40.25276278050126,41.15631333129534
17_left_join_np,3,3.0,3,276.19026366244015,4.415249227407596,272.86630197604535,274.9766612696325,279.10793685447425
17_left_join_pp,3,3.0,3,100.89235880651728,4.293566856110734,97.90850416707238,100.99918489972254,103.16249412865274
17_left_join_np,3,3.0,6,592.2593758531979,63.916668805794785,558.9486601352692,565.6519972793758,588.5949670262635
17_left_join_pp,3,3.0,6,175.30928871088796,9.981659746411237,165.40547581762075,173.80180891230702,183.09054300934076
17_left_join_np,3,3.0,9,799.4127782155646,16.136849411742254,789.6477270155867,806.080798573792,811.3218602222736
17_left_join_pp,3,3.0,9,266.1243360871477,13.428916207299986,251.276411479661,272.05829364191,278.03112572295197
17_left_join_np,3,4.5,1,99.7391703560873,2.5601624053923078,97.69673544447869,99.73423461668902,101.0375068988651
17_left_join_pp,3,4.5,1,39.4404175323934,0.5385312852325748,39.1567275298964,39.37858582101762,39.79058847296983
17_left_join_np,3,4.5,3,278.4356565810762,1.7989950907200274,277.3891269670751,278.1143799273375,279.6611334221452
17_left_join_pp,3,4.5,3,90.19503955092806,1.8011846293782021,89.5435136234635,90.72104379222324,91.3007156210437
17_left_join_np,3,4.5,6,559.0045646294789,10.08019036784996,553.0102670630514,561.3793004913364,566.717325982386
17_left_join_pp,3,4.5,6,184.92036118174548,5.694368407199083,181.65244105052062,185.7780849316216,187.49464852916665
17_left_join_np,3,4.5,9,814.5949163582599,62.03770978285902,767.6170761303301,795.2708151347341,884.3434973082348
17_left_join_pp,3,4.5,9,247.76064149883985,9.29886304616433,244.17123524236808,246.22385075161,252.1116507916023
17_left_join_np,3,6.0,1,101.62724978337064,2.1813584324818462,99.91659974632785,101.5520174568519,102.7377595412545
17_left_join_pp,3,6.0,1,41.57577469549142,4.862199199943428,39.27607047650963,39.70925245992839,40.397313308902085
17_left_join_np,3,6.0,3,254.29714362890775,5.70694174112794,252.29134733221753,256.9828647150752,257.7370901526883
17_left_join_pp,3,6.0,3,89.01340545575204,1.225472792973412,88.10710031028329,89.02718924798654,90.20906599833467
17_left_join_np,3,6.0,6,554.5898882926866,5.637588422796368,551.0509377863597,554.9966913670371,558.7615973551972
17_left_join_pp,3,6.0,6,200.30338101491301,7.154999004256769,194.84243545336054,197.4030811428291,208.3108037371241
17_left_join_np,3,6.0,9,757.1462304919968,19.356630631664977,741.9990030132874,748.9227207708445,770.8968346281404
17_left_join_pp,3,6.0,9,241.2749957648132,13.562690751316541,231.50678957011536,233.071445286943,251.83904856596098
