UDF,RK,PC,RD,mean,std,q1,median,q3
10_intersect_np,5,3.0,1,143.64625217113644,2.726270692955108,141.9683605330065,143.75079780258238,144.95577255450192
10_intersect_pp,5,3.0,1,26.05015751812607,5.9384657711374125,23.43775043822825,23.913522394374013,24.56295169517398
10_intersect_np,5,3.0,3,529.2216828349502,62.99934161536536,493.4745183401203,523.995656993946,573.5748209562155
10_intersect_pp,5,3.0,3,92.97713698069656,7.218697982870003,88.4273880096912,93.9783375672996,99.48412825643715
10_intersect_np,5,3.0,6,773.4886898871214,17.887325351009824,760.4003307854091,767.5222797878087,787.292382704814
10_intersect_pp,5,3.0,6,108.00392839938917,7.233034404088386,102.86943929363042,105.37944069405705,109.91495179278951
10_intersect_np,5,3.0,9,1230.9154579476453,113.90529153769637,1150.7194512505084,1157.0585262477398,1294.924592065625
10_intersect_pp,5,3.0,9,159.66802480071783,6.95786750334327,156.9738556155935,157.51802252419293,157.73347139451653
10_intersect_np,5,4.5,1,144.16043122299016,7.8619732953710955,139.91247296426445,141.35442313551903,143.3852712335065
10_intersect_pp,5,4.5,1,26.696452768985182,6.261704994623584,23.862362612970173,24.02702495828271,25.347126587294042
10_intersect_np,5,4.5,3,533.0865436435404,16.66940534517132,519.310784878562,526.202311687172,551.045285313679
10_intersect_pp,5,4.5,3,91.25676226451628,6.961781271240132,87.49798287603,89.546817774105,97.98412825643649
10_intersect_np,5,4.5,6,765.403901353721,12.216505590959565,754.2325185632964,768.1853353731922,775.8315010838187
10_intersect_pp,5,4.5,6,106.65620949638912,6.2429373428976325,102.57877403402539,105.85771481506526,109.70316029310698
10_intersect_np,5,4.5,9,1159.5954907042046,23.47589202908457,1139.011550169627,1150.9044544199896,1173.94534978313
10_intersect_pp,5,4.5,9,157.387105748543,8.135106196691803,151.67834421779025,152.45423438599366,164.03669963574205
10_intersect_np,5,6.0,1,141.48804511269554,2.8043893662596147,139.3813122054562,140.6533144917339,144.04935871902853
10_intersect_pp,5,6.0,1,27.530667648185045,5.963793879579062,24.401650268584486,25.11073352769017,27.29765596054494
10_intersect_np,5,6.0,3,582.3831801491632,103.6888209649555,518.300151886458,537.5885135270655,582.63541068225
10_intersect_pp,5,6.0,3,88.45575231781531,7.263701875035899,83.39990785375305,88.2895323047303,93.33092111138953
10_intersect_np,5,6.0,6,797.9774784121432,87.48990452551254,751.0031342953444,766.4567949389717,826.7274376040008
10_intersect_pp,5,6.0,6,126.53243671357961,16.39948366569002,113.21026878443789,120.71902551222884,137.4126640467745
10_intersect_np,5,6.0,9,1165.4506776291105,52.29663355365048,1134.980460303607,1141.0130679830909,1163.3485344662843
10_intersect_pp,5,6.0,9,161.40616772323725,8.548574933518852,155.82379923254987,156.06926408037543,163.55057216568616
