UDF,RK,PC,RD,mean,std,q1,median,q3
10_intersect_np,3,3.0,1,165.2649149115508,1.3493140086962476,164.37703594937918,164.67502138204873,165.49535557534546
10_intersect_pp,3,3.0,1,35.040184035276376,0.686117242211539,34.53592486679554,35.22616263106465,35.40967417694628
10_intersect_np,4,3.0,1,211.14586593153197,1.2694607156093034,210.3718869201839,210.98426630258908,211.8460229746997
10_intersect_pp,4,3.0,1,36.47867219346877,0.9661460293244585,35.59058814495802,36.70647066615941,37.03051140390149
10_intersect_np,5,3.0,1,191.92016517088254,1.7396150676411037,190.78811468929047,191.11616809987493,193.07922685452573
10_intersect_pp,5,3.0,1,34.43160132651162,1.1482790683422328,34.310600485652685,34.69513618827969,35.08092225279641
10_intersect_np,3,4.5,1,167.68283718455604,2.4420075266579224,166.76769786322177,168.10752455657962,169.36450188997077
10_intersect_pp,3,4.5,1,36.62378806660704,1.7752527874952266,34.99778666160154,36.20973774676256,37.25960189681511
10_intersect_np,4,4.5,1,213.39296583282447,2.467952416238197,211.1266025614491,213.93888193552596,215.16970626432257
10_intersect_pp,4,4.5,1,35.064450516066955,1.0232562194857602,34.408960575296646,35.288154757794445,35.70069497991573
10_intersect_np,5,4.5,1,192.1955256524979,3.2638654875464432,188.1028730869142,192.881097022444,194.72690909485544
10_intersect_pp,5,4.5,1,37.04685969872852,1.7694416653286964,36.94508326557948,37.09665645700965,38.039395444203706
10_intersect_np,3,6.0,1,170.47212067861292,2.585057737097028,168.00520420074463,169.5751475062633,172.47312329634715
10_intersect_pp,3,6.0,1,35.70273511050987,1.5258737321793,34.28700028604814,35.6284937166234,37.4614768577274
10_intersect_np,4,6.0,1,220.08939892418942,6.8179031746839,214.16631822660565,222.12738757597327,225.593467609492
10_intersect_pp,4,6.0,1,39.27440628123667,1.1369478358563456,38.52423040244432,38.845633637989934,39.89454751990424
10_intersect_np,5,6.0,1,194.96534211852492,2.4963898589518245,192.29794105962912,194.8705994358937,197.1506340291526
10_intersect_pp,5,6.0,1,38.16994945302206,1.5785133439794286,37.24025766310501,37.94713208366085,38.26636149380861
