UDF,RK,PC,RD,mean,std,q1,median,q3
17_left_join_np,3,3.0,1,106.7788701803415,0.7427803141449059,106.30046399310233,106.81475621653598,107.3548220741204
17_left_join_pp,3,3.0,1,32.492320833809906,0.6901499276509212,32.07457483932376,32.721642261446,32.8905972180894
17_left_join_np,4,3.0,1,135.27249735246713,0.6266285645168098,134.9270618423012,134.9996087788302,135.36428815609253
17_left_join_pp,4,3.0,1,34.872225719356486,1.2083568136200415,34.126559637486935,34.891271229833364,36.14786248023923
17_left_join_np,5,3.0,1,123.92126519992841,0.554965194182031,123.4932747334242,123.77463281527162,124.43214501538232
17_left_join_pp,5,3.0,1,33.38179388118383,1.3182591650343949,32.32085931673646,33.911152660731155,34.52520915865898
17_left_join_np,3,4.5,1,107.57940025426579,0.6054532814036302,107.13719904050232,107.28768473631546,107.73564754990949
17_left_join_pp,3,4.5,1,32.31774652742519,1.226649735088108,31.643921553792755,32.72122685482369,33.28894225457092
17_left_join_np,4,4.5,1,136.36842074878763,1.9206164718321626,134.93154815909344,136.03060813451464,136.57190087508462
17_left_join_pp,4,4.5,1,36.97639571914985,1.2237769049818783,35.754727379271884,37.33893798251348,38.11389390125603
17_left_join_np,5,4.5,1,123.74883149481418,1.0418225752359496,123.24437802034036,124.16819750579744,124.35572387621647
17_left_join_pp,5,4.5,1,36.093409935879635,1.0941040248087304,35.003449675951224,36.28284203341308,36.90675865909693
17_left_join_np,3,6.0,1,104.66449943152729,2.8022261307362384,101.76854894436867,104.86457721971418,106.91665783151984
17_left_join_pp,3,6.0,1,31.64429898979868,0.8043229241401731,31.46858973997238,31.544394557123763,32.44363040532006
17_left_join_np,4,6.0,1,125.83373408302207,4.449041039931811,122.09695400451922,127.32517868515068,129.56345843029118
17_left_join_pp,4,6.0,1,37.210702557819296,0.6128293749097823,36.64487091102068,37.13816797145559,37.74078565219889
17_left_join_np,5,6.0,1,126.22423415339982,2.113820612585568,125.01082876518493,126.55371013452678,128.1770830881301
17_left_join_pp,5,6.0,1,32.61785976523831,0.6159757262196979,31.937902452131137,32.66856967502788,33.02976742759347
