UDF,RK,PC,RD,mean,std,q1,median,q3
18_merge_join_np,3,3.0,6,190.71190889629068,2.6053362275742757,188.49579813954148,189.4682870471259,193.28717986765147
18_merge_join_pp,3,3.0,6,29.68439527803242,0.6975417066059657,28.9444052242598,29.809056834806974,30.316223305194985
18_merge_join_np,4,3.0,6,251.80179630254165,2.100167634145794,250.3113863856796,251.61425801366568,254.3375349431924
18_merge_join_pp,4,3.0,6,31.195503202521632,0.9786003824356418,30.799655746668577,30.98548402245493,31.289255835167864
18_merge_join_np,5,3.0,6,227.5692661166311,1.510112549686095,227.24643124639988,227.5249191268765,228.90408900228013
18_merge_join_pp,5,3.0,6,28.556686168084013,1.2788135648299561,28.21286265179515,28.66297741979361,29.20884708687663
18_merge_join_np,3,4.5,6,197.4027690798901,13.705031585121734,188.30904342606664,195.68112747488715,211.1846428190285
18_merge_join_pp,3,4.5,6,29.969026517459774,1.2126527492991563,29.23682844598421,30.035465117067822,30.49807438138425
18_merge_join_np,4,4.5,6,246.52612839797177,4.490370036678119,242.1225285120321,246.55211566617947,250.93246425688267
18_merge_join_pp,4,4.5,6,32.392659888057146,0.8526858800147861,31.62966887210008,32.693063191817764,33.06172166642365
18_merge_join_np,5,4.5,6,221.24062905732205,4.811493533002576,219.7520862721513,221.94706355727445,223.9513065967044
18_merge_join_pp,5,4.5,6,30.198104455508144,1.2879553327193551,29.25610605999828,30.17556579304662,31.03981342319145
18_merge_join_np,3,6.0,6,190.9682453368738,6.437601234945846,186.4062321833076,192.54437738166,194.32486597076056
18_merge_join_pp,3,6.0,6,30.601743463775946,0.8388540544449146,29.75858268146312,30.6150960007846,30.855554946241075
18_merge_join_np,4,6.0,6,242.73846090878052,4.616692664922898,238.17983436014111,240.0383615111684,247.2290959995928
18_merge_join_pp,4,6.0,6,31.403818003172844,1.0607348499901543,30.928341437131166,31.19929120647944,31.571997303797986
18_merge_join_np,5,6.0,6,219.2351234069764,2.761047534076482,217.2655491196027,218.36485309251455,221.53959168572976
18_merge_join_pp,5,6.0,6,28.716793405670224,0.6311507204324144,28.526779477956087,28.74251214042306,29.111672566151
