UDF,RK,PC,RD,mean,std,q1,median,q3
20_nested_loops_np,4,3.0,1,59.80346254553019,0.8477759303351695,59.00090369954705,59.65846936762596,60.51037208735943
20_nested_loops_pp,4,3.0,1,19.9663026278674,0.7490615264781457,19.52833579480648,20.08297071978449,20.38429595062192
20_nested_loops_np,4,3.0,3,135.79802972761183,1.0548285561727784,134.71462106332183,135.80855037271976,136.80112264463327
20_nested_loops_pp,4,3.0,3,25.58159132014144,1.1851546061328486,24.51700660276266,25.37223255634308,26.751667520867557
20_nested_loops_np,4,3.0,6,250.84181907560182,1.3861292881751095,249.6686630307346,251.01314877718687,251.91143760830164
20_nested_loops_pp,4,3.0,6,31.472808173117812,0.5912235398449529,30.91831898794972,31.731171879917383,31.89014596119523
20_nested_loops_np,4,3.0,9,364.1461283832448,13.284976046774256,356.1400532475632,364.64859510213137,377.5864715093108
20_nested_loops_pp,4,3.0,9,38.00830820041134,1.7414424079417674,36.99355442824892,38.71299605173285,39.42772108096637
20_nested_loops_np,4,4.5,1,62.27778863635759,1.3464808654637694,61.88900979762818,62.34766932900712,62.81550147128664
20_nested_loops_pp,4,4.5,1,21.69121862638329,1.0978900681537447,21.013849361849,21.841217696310053,22.20307623891881
20_nested_loops_np,4,4.5,3,135.06788153858218,4.356936685165681,130.84787645320912,134.2952710908777,138.29061034555065
20_nested_loops_pp,4,4.5,3,22.323038489363196,0.8276101157312858,21.770446199129683,21.970124539775647,23.121539020098805
20_nested_loops_np,4,4.5,6,261.4100640883652,7.469426054167999,253.50805726647377,260.03797673016777,268.79462862413584
20_nested_loops_pp,4,4.5,6,32.42123146964805,0.6328712429506169,31.839561888756272,32.61433245216048,32.79987332707088
20_nested_loops_np,4,4.5,9,375.6167120802252,9.720842073219773,369.33863078023126,372.482526952199,381.14095864269336
20_nested_loops_pp,4,4.5,9,37.54717076974206,0.9189184660216745,37.05752012400119,37.87259806159507,38.11442779824369
20_nested_loops_np,4,6.0,1,60.412420239899994,0.891787214563521,60.10454962030053,60.20292682487538,61.0162885577584
20_nested_loops_pp,4,6.0,1,20.141075524696628,0.7310344358390638,19.54660145169265,19.88446656522892,20.91160981043333
20_nested_loops_np,4,6.0,3,132.92127999922172,3.0489496065428447,129.94879317042069,133.19941745520012,135.70042922347784
20_nested_loops_pp,4,6.0,3,24.024446577717658,1.812880720219721,22.69834755126135,24.29054165259004,24.87420136182864
20_nested_loops_np,4,6.0,6,260.0024708381288,4.0956072363957405,258.5561293196749,260.48104235888627,263.62921022020487
20_nested_loops_pp,4,6.0,6,32.00529948930475,0.6248596703636136,31.554751344330118,31.846993944587272,32.54718648723162
20_nested_loops_np,4,6.0,9,361.35241941064794,7.040998387419389,355.9247484299938,360.6068861037493,368.12167361060153
20_nested_loops_pp,4,6.0,9,39.9185091593681,0.5562477379936112,39.766574243769526,40.06457723591394,40.33257781344887
