UDF,RK,PC,RD,mean,std,q1,median,q3
18_merge_join_np,5,3.0,1,56.54492529817125,0.7052404493523955,56.20759731903672,56.606063064187765,57.11546564658776
18_merge_join_pp,5,3.0,1,19.079875702749646,0.9086582297251002,18.84788290783763,19.017036359757185,19.49744835868477
18_merge_join_np,5,3.0,3,123.32440555716873,1.4234629042613665,122.35215426095267,122.85197534039617,124.70727872475982
18_merge_join_pp,5,3.0,3,22.834264680271733,1.021048963874261,21.87491510069237,23.06139959767461,23.75168601876389
18_merge_join_np,5,3.0,6,227.5692661166311,1.510112549686095,227.24643124639988,227.5249191268765,228.90408900228013
18_merge_join_pp,5,3.0,6,28.556686168084013,1.2788135648299561,28.21286265179515,28.66297741979361,29.20884708687663
18_merge_join_np,5,3.0,9,332.17740770183934,4.548014004921565,329.3613414867277,333.22678804025054,333.6122270169821
18_merge_join_pp,5,3.0,9,34.78866016834756,0.8572227797143323,34.14853909601283,35.02009335220121,35.35613512530859
18_merge_join_np,5,4.5,1,55.121181284390474,1.1720201383463982,54.04481531276098,55.01152724527698,55.5365680186831
18_merge_join_pp,5,4.5,1,18.570947775863477,0.7654267340620524,17.937839842321914,18.85666144423343,19.223360374569893
18_merge_join_np,5,4.5,3,120.58997336137749,3.7155987805179755,117.48045302255731,120.7804109071824,123.44384003058076
18_merge_join_pp,5,4.5,3,23.22666008322692,1.117522261721828,22.618373907087285,23.055971349728484,23.997793685644865
18_merge_join_np,5,4.5,6,221.24062905732205,4.811493533002576,219.7520862721513,221.94706355727445,223.9513065967044
18_merge_join_pp,5,4.5,6,30.198104455508144,1.2879553327193551,29.25610605999828,30.17556579304662,31.03981342319145
18_merge_join_np,5,4.5,9,351.139911487626,6.56537796619541,345.851889736901,349.5792974107225,357.8386665158795
18_merge_join_pp,5,4.5,9,43.33164347574092,0.7998844202126779,43.031331383910896,43.48090083524585,43.75331610511475
18_merge_join_np,5,6.0,1,55.688558933509135,1.3026917568498229,54.74018666700905,55.27356442064047,55.8566603724005
18_merge_join_pp,5,6.0,1,19.731230286497247,1.077058901269011,19.298790308717173,19.91828859285653,20.35649697108304
18_merge_join_np,5,6.0,3,118.50490053406429,6.430449901884991,113.44808739191625,118.60808874627132,124.2477350929498
18_merge_join_pp,5,6.0,3,21.669380309807664,0.6123981403322725,21.320685509567223,21.63175600519885,22.168221881305847
18_merge_join_np,5,6.0,6,219.2351234069764,2.761047534076482,217.2655491196027,218.36485309251455,221.53959168572976
18_merge_join_pp,5,6.0,6,28.716793405670224,0.6311507204324144,28.526779477956087,28.74251214042306,29.111672566151
18_merge_join_np,5,6.0,9,350.5357640011256,7.980615879065657,343.5857872353799,350.4168206965475,355.5531915571653
18_merge_join_pp,5,6.0,9,34.33622823115204,1.0397427397137884,33.323590419694455,34.343914080025165,34.98971951007843
